river,year_release,abundance,abundance_unit,release_stage
furuu,2003,111,thousand_fish,fry
furuu,2003,40,thousand_fish,fry
shiotomari,2003,50,thousand_fish,fry
chihase,2003,121,thousand_fish,fry
futoro,2003,174,thousand_fish,fry
tomari,2003,125,thousand_fish,fry
nikanbetsu,2003,50,thousand_fish,fry
nobusha,2003,502,thousand_fish,fry
hidakahorobetsu,2003,90,thousand_fish,fry
furuu,2003,41,thousand_fish,fry
masuhoro,2003,10,thousand_fish,fry
kenichi,2003,67,thousand_fish,fry
kenichi,2003,11,thousand_fish,fry
yobetsu,2003,67,thousand_fish,fry
shokanbetsu,2004,200,thousand_fish,fry
chihase,2004,100,thousand_fish,fry
toppu,2004,93,thousand_fish,fry
tomari,2004,100,thousand_fish,fry
nikanbetsu,2004,30,thousand_fish,fry
hidakahorobetsu,2004,40,thousand_fish,fry
hidakahorobetsu,2004,30,thousand_fish,fry
hidakahorobetsu,2004,33,thousand_fish,fry
furuu,2004,156,thousand_fish,fry
yobetsu,2004,100,thousand_fish,fry
usubetsu,2004,75,thousand_fish,fry
utabetsu,2004,25,thousand_fish,fry
shiotomari,2004,95,thousand_fish,fry
nobusha,2004,507,thousand_fish,fry
nikanbetsu,2004,30,thousand_fish,fry
ishizaki,2004,134,thousand_fish,fry
masuhoro,2004,10,thousand_fish,fry
futoro,2004,115,thousand_fish,fry
oyobe,2005,100,thousand_fish,fry
shokanbetsu,2005,241,thousand_fish,fry
chihase,2005,41,thousand_fish,fry
toppu,2005,81,thousand_fish,fry
tomari,2005,138,thousand_fish,fry
nobusha,2005,155,thousand_fish,fry
nobusha,2005,146,thousand_fish,fry
furuu,2005,181,thousand_fish,fry
kenichi,2005,45,thousand_fish,fry
yobetsu,2005,101,thousand_fish,fry
usubetsu,2005,72,thousand_fish,fry
shiotomari,2005,120,thousand_fish,fry
ishizaki,2005,126,thousand_fish,fry
masuhoro,2005,27,thousand_fish,fry
futoro,2005,108,thousand_fish,fry
ishizaki,2006,140,thousand_fish,fry
usubetsu,2006,99,thousand_fish,fry
oyobe,2006,34,thousand_fish,fry
chihase,2006,126,thousand_fish,fry
tomari,2006,121,thousand_fish,fry
toppu,2006,111,thousand_fish,fry
futoro,2006,166,thousand_fish,fry
furuu,2006,180,thousand_fish,fry
kenichi,2006,52,thousand_fish,fry
kenichi,2006,53,thousand_fish,fry
yobetsu,2006,100,thousand_fish,fry
shiotomari,2006,76,thousand_fish,fry
ishizaki,2007,140,thousand_fish,fry
usubetsu,2007,80,thousand_fish,fry
oyobe,2007,61,thousand_fish,fry
shiotomari,2007,206,thousand_fish,fry
shokanbetsu,2007,34,thousand_fish,fry
chihase,2007,125,thousand_fish,fry
tomari,2007,121,thousand_fish,fry
toppu,2007,90,thousand_fish,fry
nobusha,2007,51,thousand_fish,fry
futoro,2007,180,thousand_fish,fry
furuu,2007,180,thousand_fish,fry
kenichi,2007,50,thousand_fish,fry
kenichi,2007,50,thousand_fish,fry
yobetsu,2007,100,thousand_fish,fry
ishizaki,2008,74,thousand_fish,fry
ishizaki,2008,66,thousand_fish,fry
usubetsu,2008,80,thousand_fish,fry
oyobe,2008,61,thousand_fish,fry
shiotomari,2008,118,thousand_fish,fry
shokanbetsu,2008,284,thousand_fish,fry
chihase,2008,463,thousand_fish,fry
chihase,2008,125,thousand_fish,fry
tomari,2008,125,thousand_fish,fry
toppu,2008,90,thousand_fish,fry
nobusha,2008,128,thousand_fish,fry
futoro,2008,120,thousand_fish,fry
furuu,2008,180,thousand_fish,fry
kenichi,2008,50,thousand_fish,fry
yobetsu,2008,100,thousand_fish,fry
ishizaki,2009,187,thousand_fish,fry
usubetsu,2009,102,thousand_fish,fry
oyobe,2009,40,thousand_fish,fry
oyobe,2009,20,thousand_fish,fry
shiotomari,2009,91,thousand_fish,fry
shiotomari,2009,10,thousand_fish,fry
shokanbetsu,2009,220,thousand_fish,fry
chihase,2009,125,thousand_fish,fry
tomari,2009,125,thousand_fish,fry
toppu,2009,118,thousand_fish,fry
nobusha,2009,199,thousand_fish,fry
hime,2009,131,thousand_fish,fry
futoro,2009,200,thousand_fish,fry
furuu,2009,149,thousand_fish,fry
furuu,2009,30,thousand_fish,fry
kenichi,2009,90,thousand_fish,fry
yobetsu,2009,100,thousand_fish,fry
ishizaki,2010,50,thousand_fish,fry
usubetsu,2010,30,thousand_fish,fry
oyobe,2010,50,thousand_fish,fry
oyobe,2010,10,thousand_fish,fry
shiotomari,2010,83,thousand_fish,fry
shiotomari,2010,20,thousand_fish,fry
chihase,2010,123,thousand_fish,fry
tomari,2010,125,thousand_fish,fry
toppu,2010,40,thousand_fish,fry
hime,2010,40,thousand_fish,fry
futoro,2010,50,thousand_fish,fry
furuu,2010,180,thousand_fish,fry
kenichi,2010,10,thousand_fish,fry
yobetsu,2010,100,thousand_fish,fry
ishizaki,2011,150,thousand_fish,fry
usubetsu,2011,98,thousand_fish,fry
oyobe,2011,50,thousand_fish,fry
shiotomari,2011,100,thousand_fish,fry
chihase,2011,125,thousand_fish,fry
tomari,2011,125,thousand_fish,fry
toppu,2011,112,thousand_fish,fry
toppu,2011,20,thousand_fish,fry
hime,2011,135,thousand_fish,fry
futoro,2011,141,thousand_fish,fry
furuu,2011,182,thousand_fish,fry
kenichi,2011,50,thousand_fish,fry
yobetsu,2011,100,thousand_fish,fry
ishizaki,2012,120,thousand_fish,fry
usubetsu,2012,80,thousand_fish,fry
oyobe,2012,50,thousand_fish,fry
shiotomari,2012,100,thousand_fish,fry
chihase,2012,125,thousand_fish,fry
tomari,2012,125,thousand_fish,fry
toppu,2012,80,thousand_fish,fry
hime,2012,90,thousand_fish,fry
futoro,2012,125,thousand_fish,fry
furuu,2012,180,thousand_fish,fry
yobetsu,2012,110,thousand_fish,fry
kenichi,2012,100,thousand_fish,fry
toppu,2012,10,thousand_fish,fry
usubetsu,2012,60,thousand_fish,fry
futoro,2013,160,thousand_fish,fry
usubetsu,2013,139,thousand_fish,fry
hime,2013,126,thousand_fish,fry
ishizaki,2013,176,thousand_fish,fry
shiotomari,2013,100,thousand_fish,fry
oyobe,2013,70,thousand_fish,fry
yobetsu,2013,110,thousand_fish,fry
furuu,2013,180,thousand_fish,fry
tomari,2013,125,thousand_fish,fry
chihase,2013,125,thousand_fish,fry
kenichi,2013,50,thousand_fish,fry
toppu,2013,20,thousand_fish,fry
futoro,2014,90,thousand_fish,fry
usubetsu,2014,72,thousand_fish,fry
hime,2014,72,thousand_fish,fry
ishizaki,2014,100,thousand_fish,fry
shiotomari,2014,110,thousand_fish,fry
oyobe,2014,70,thousand_fish,fry
kenichi,2014,20,thousand_fish,fry
toppu,2014,20,thousand_fish,fry
yobetsu,2014,110,thousand_fish,fry
furuu,2014,180,thousand_fish,fry
tomari,2014,88,thousand_fish,fry
chihase,2014,105,thousand_fish,fry
shiotomari,2015,80,thousand_fish,fry
oyobe,2015,40,thousand_fish,fry
yobetsu,2015,110,thousand_fish,fry
furuu,2015,180,thousand_fish,fry
tomari,2015,65,thousand_fish,fry
tomari,2015,43,thousand_fish,fry
chihase,2015,97,thousand_fish,fry
chihase,2015,10,thousand_fish,fry
chihase,2015,17,thousand_fish,fry
tomari,2015,10,thousand_fish,fry
tomari,2015,7,thousand_fish,fry
chihase,2015,16,thousand_fish,fry
chihase,2015,2,thousand_fish,fry
chihase,2015,3,thousand_fish,fry
yobetsu,2017,110,thousand_fish,fry
furuu,2017,180,thousand_fish,fry
tomari,2017,100,thousand_fish,fry
chihase,2017,102,thousand_fish,fry
futoro,2019,60,thousand_fish,fry
toppu,2019,20,thousand_fish,fry
ishizaki,2019,30,thousand_fish,fry
shiotomari,2019,68,thousand_fish,fry
oyobe,2019,38,thousand_fish,fry
yobetsu,2019,110,thousand_fish,fry
furuu,2019,180,thousand_fish,fry
tomari,2019,125,thousand_fish,fry
chihase,2019,200,thousand_fish,fry
yobetsu,2020,110,thousand_fish,fry
tomari,2020,120,thousand_fish,fry
chihase,2020,90,thousand_fish,fry
furuu,2020,180,thousand_fish,fry
yamubetsu,1987,20,thousand_fish,juvenile
yamubetsu,1988,10,thousand_fish,juvenile
yamubetsu,1988,10,thousand_fish,juvenile
yamubetsu,1988,59,thousand_fish,juvenile
yamubetsu,1989,51,thousand_fish,juvenile
toppu,1990,344.4,thousand_fish,juvenile
nishibetsu,1990,47.6,thousand_fish,juvenile
masuhoro,1990,10.1,thousand_fish,juvenile
kenichi,1991,42.8,thousand_fish,juvenile
chihase,1991,49,thousand_fish,juvenile
yamubetsu,1991,6.6,thousand_fish,juvenile
nobusha,1991,29.8,thousand_fish,juvenile
furuu,1991,44,thousand_fish,juvenile
masuhoro,1991,52.7,thousand_fish,juvenile
yobetsu,1991,53,thousand_fish,juvenile
kenichi,1992,18.2,thousand_fish,juvenile
shiotomari,1992,22.7,thousand_fish,juvenile
shiotomari,1992,36.8,thousand_fish,juvenile
chihase,1992,99,thousand_fish,juvenile
toppu,1992,9.7,thousand_fish,juvenile
tomari,1992,50,thousand_fish,juvenile
furuu,1992,70,thousand_fish,juvenile
furuu,1992,5,thousand_fish,juvenile
masuhoro,1992,28.7,thousand_fish,juvenile
masuhoro,1992,17.6,thousand_fish,juvenile
yobetsu,1992,50,thousand_fish,juvenile
kenichi,1993,3,thousand_fish,juvenile
kenichi,1993,26.6,thousand_fish,juvenile
kenichi,1993,12,thousand_fish,juvenile
shiotomari,1993,14,thousand_fish,juvenile
chihase,1993,92,thousand_fish,juvenile
toppu,1993,40,thousand_fish,juvenile
yamubetsu,1993,6,thousand_fish,juvenile
tomari,1993,42,thousand_fish,juvenile
nobusha,1993,33.5,thousand_fish,juvenile
nobusha,1993,3.1,thousand_fish,juvenile
furuu,1993,36,thousand_fish,juvenile
furuu,1993,4,thousand_fish,juvenile
masuhoro,1993,18.4,thousand_fish,juvenile
masuhoro,1993,18.4,thousand_fish,juvenile
masuhoro,1993,4.1,thousand_fish,juvenile
yobetsu,1993,42,thousand_fish,juvenile
kenichi,1994,10,thousand_fish,juvenile
kenichi,1994,10,thousand_fish,juvenile
chihase,1994,50,thousand_fish,juvenile
futoro,1994,5,thousand_fish,juvenile
toppu,1994,40,thousand_fish,juvenile
yamubetsu,1994,16,thousand_fish,juvenile
tomari,1994,40,thousand_fish,juvenile
nobusha,1994,3.1,thousand_fish,juvenile
furuu,1994,40,thousand_fish,juvenile
horonai,1994,120,thousand_fish,juvenile
masuhoro,1994,20,thousand_fish,juvenile
masuhoro,1994,30.2,thousand_fish,juvenile
masuhoro,1994,21.8,thousand_fish,juvenile
yobetsu,1994,50,thousand_fish,juvenile
usubetsu,1995,11.4,thousand_fish,juvenile
kenichi,1995,5,thousand_fish,juvenile
kokamotsu,1995,5,thousand_fish,juvenile
chihase,1995,40,thousand_fish,juvenile
futoro,1995,4.9,thousand_fish,juvenile
yamubetsu,1995,25,thousand_fish,juvenile
nobusha,1995,62,thousand_fish,juvenile
furuu,1995,30,thousand_fish,juvenile
horonai,1995,199,thousand_fish,juvenile
masuhoro,1995,20.3,thousand_fish,juvenile
masuhoro,1995,5.1,thousand_fish,juvenile
masuhoro,1995,7.8,thousand_fish,juvenile
kenichi,1996,6.4,thousand_fish,juvenile
kenichi,1996,10.2,thousand_fish,juvenile
kenichi,1996,9.9,thousand_fish,juvenile
kokamotsu,1996,10,thousand_fish,juvenile
shiotomari,1996,2.6,thousand_fish,juvenile
nobusha,1996,60,thousand_fish,juvenile
futoro,1996,5,thousand_fish,juvenile
yamubetsu,1996,25,thousand_fish,juvenile
horonai,1996,20,thousand_fish,juvenile
masuhoro,1996,36,thousand_fish,juvenile
masuhoro,1996,4.3,thousand_fish,juvenile
masuhoro,1996,9,thousand_fish,juvenile
usubetsu,1997,7.8,thousand_fish,juvenile
kenichi,1997,11.6,thousand_fish,juvenile
kenichi,1997,11.9,thousand_fish,juvenile
kenichi,1997,9.1,thousand_fish,juvenile
kokamotsu,1997,10.4,thousand_fish,juvenile
shiotomari,1997,18.9,thousand_fish,juvenile
nobusha,1997,60,thousand_fish,juvenile
nobusha,1997,341.4,thousand_fish,juvenile
furuu,1997,20,thousand_fish,juvenile
horonai,1997,3,thousand_fish,juvenile
horonai,1997,20,thousand_fish,juvenile
masuhoro,1997,40.8,thousand_fish,juvenile
yamubetsu,1997,25,thousand_fish,juvenile
kokamotsu,1998,9.6,thousand_fish,juvenile
shiotomari,1998,14.5,thousand_fish,juvenile
shiotomari,1998,2,thousand_fish,juvenile
futoro,1998,32.9,thousand_fish,juvenile
toppu,1998,259.6,thousand_fish,juvenile
nobusha,1998,20,thousand_fish,juvenile
nobusha,1998,306.9,thousand_fish,juvenile
masuhoro,1998,8.5,thousand_fish,juvenile
masuhoro,1998,8.5,thousand_fish,juvenile
masuhoro,1998,8.5,thousand_fish,juvenile
masuhoro,1998,8.5,thousand_fish,juvenile
yamubetsu,1998,25,thousand_fish,juvenile
kokamotsu,1999,9.8,thousand_fish,juvenile
toppu,1999,11.2,thousand_fish,juvenile
nobusha,1999,37.8,thousand_fish,juvenile
nobusha,1999,41.8,thousand_fish,juvenile
nobusha,1999,174,thousand_fish,juvenile
nobusha,1999,118.9,thousand_fish,juvenile
kenichi,1999,4,thousand_fish,juvenile
toppu,2000,14.9,thousand_fish,juvenile
nobusha,2000,80,thousand_fish,juvenile
nobusha,2000,184,thousand_fish,juvenile
nobusha,2000,156,thousand_fish,juvenile
furuu,2000,105,thousand_fish,juvenile
kenichi,2000,15.1,thousand_fish,juvenile
kenichi,2000,14.7,thousand_fish,juvenile
kenichi,2000,14.9,thousand_fish,juvenile
kenichi,2000,16.2,thousand_fish,juvenile
usubetsu,2001,11.9,thousand_fish,juvenile
usubetsu,2001,66.6,thousand_fish,juvenile
futoro,2001,50,thousand_fish,juvenile
toppu,2001,20,thousand_fish,juvenile
toppu,2001,10,thousand_fish,juvenile
nobusha,2001,14.8,thousand_fish,juvenile
nobusha,2001,13.6,thousand_fish,juvenile
nobusha,2001,8.3,thousand_fish,juvenile
nobusha,2001,80.1,thousand_fish,juvenile
nobusha,2001,366.2,thousand_fish,juvenile
hime,2001,10,thousand_fish,juvenile
furuu,2001,43.6,thousand_fish,juvenile
furuu,2001,21.3,thousand_fish,juvenile
furuu,2001,14.7,thousand_fish,juvenile
kenichi,2001,10,thousand_fish,juvenile
kenichi,2001,15.4,thousand_fish,juvenile
kenichi,2001,24.9,thousand_fish,juvenile
kenichi,2001,15.4,thousand_fish,juvenile
kenichi,2001,49.5,thousand_fish,juvenile
ishizaki,2002,72,thousand_fish,juvenile
usubetsu,2002,4.2,thousand_fish,juvenile
usubetsu,2002,72,thousand_fish,juvenile
nobusha,2002,13.8,thousand_fish,juvenile
nobusha,2002,14.1,thousand_fish,juvenile
chihase,2002,80,thousand_fish,juvenile
futoro,2002,50,thousand_fish,juvenile
toppu,2002,13.7,thousand_fish,juvenile
furuu,2002,29.9,thousand_fish,juvenile
kenichi,2002,10,thousand_fish,juvenile
kenichi,2002,10.4,thousand_fish,juvenile
kenichi,2002,9,thousand_fish,juvenile
kenichi,2002,10.6,thousand_fish,juvenile
ishizaki,2003,71.4,thousand_fish,juvenile
usubetsu,2003,71.4,thousand_fish,juvenile
kenichi,2003,12.2,thousand_fish,juvenile
kenichi,2003,14.8,thousand_fish,juvenile
kenichi,2003,13.5,thousand_fish,juvenile
shokanbetsu,2003,14,thousand_fish,juvenile
shokanbetsu,2003,12.5,thousand_fish,juvenile
chihase,2003,50,thousand_fish,juvenile
futoro,2003,50,thousand_fish,juvenile
furuu,2003,50,thousand_fish,juvenile
ishizaki,2004,71.4,thousand_fish,juvenile
usubetsu,2004,71.4,thousand_fish,juvenile
shokanbetsu,2004,15.8,thousand_fish,juvenile
shokanbetsu,2004,16.2,thousand_fish,juvenile
chihase,2004,109.1,thousand_fish,juvenile
futoro,2004,50,thousand_fish,juvenile
furuu,2004,27.8,thousand_fish,juvenile
kenichi,2004,20,thousand_fish,juvenile
kenichi,2004,19.6,thousand_fish,juvenile
kenichi,2004,52.7,thousand_fish,juvenile
kenichi,2004,47.8,thousand_fish,juvenile
kenichi,2004,21.1,thousand_fish,juvenile
kenichi,2004,21.6,thousand_fish,juvenile
kenichi,2004,4.4,thousand_fish,juvenile
ishizaki,2005,71.4,thousand_fish,juvenile
usubetsu,2005,71.4,thousand_fish,juvenile
shokanbetsu,2005,10.1,thousand_fish,juvenile
shokanbetsu,2005,11.2,thousand_fish,juvenile
chihase,2005,20.7,thousand_fish,juvenile
chihase,2005,120.7,thousand_fish,juvenile
futoro,2005,50,thousand_fish,juvenile
toppu,2005,143,thousand_fish,juvenile
kenichi,2005,43.6,thousand_fish,juvenile
kenichi,2005,20.3,thousand_fish,juvenile
kenichi,2005,109,thousand_fish,juvenile
yobetsu,2005,21.7,thousand_fish,juvenile
ishizaki,2006,71.4,thousand_fish,juvenile
usubetsu,2006,71.4,thousand_fish,juvenile
kenichi,2006,59.5,thousand_fish,juvenile
kenichi,2006,12.3,thousand_fish,juvenile
kenichi,2006,86.4,thousand_fish,juvenile
kenichi,2006,100,thousand_fish,juvenile
chihase,2006,100,thousand_fish,juvenile
toppu,2006,143,thousand_fish,juvenile
tomari,2006,12,thousand_fish,juvenile
futoro,2006,50,thousand_fish,juvenile
furuu,2006,30.6,thousand_fish,juvenile
yobetsu,2006,20,thousand_fish,juvenile
ishizaki,2007,71.4,thousand_fish,juvenile
usubetsu,2007,71.4,thousand_fish,juvenile
kenichi,2007,87.8,thousand_fish,juvenile
kenichi,2007,21.2,thousand_fish,juvenile
kenichi,2007,49.9,thousand_fish,juvenile
kenichi,2007,69.5,thousand_fish,juvenile
chihase,2007,100,thousand_fish,juvenile
tomari,2007,10,thousand_fish,juvenile
tomari,2007,10,thousand_fish,juvenile
toppu,2007,143,thousand_fish,juvenile
futoro,2007,50,thousand_fish,juvenile
furuu,2007,41.2,thousand_fish,juvenile
furuu,2007,49.4,thousand_fish,juvenile
furuu,2007,19.5,thousand_fish,juvenile
yobetsu,2007,20,thousand_fish,juvenile
ishizaki,2008,71.4,thousand_fish,juvenile
usubetsu,2008,71.4,thousand_fish,juvenile
kenichi,2008,104.9,thousand_fish,juvenile
kenichi,2008,30.7,thousand_fish,juvenile
kenichi,2008,30.9,thousand_fish,juvenile
kenichi,2008,30.6,thousand_fish,juvenile
kenichi,2008,7,thousand_fish,juvenile
chihase,2008,60,thousand_fish,juvenile
chihase,2008,5.9,thousand_fish,juvenile
chihase,2008,10,thousand_fish,juvenile
chihase,2008,5,thousand_fish,juvenile
chihase,2008,4.9,thousand_fish,juvenile
chihase,2008,67.9,thousand_fish,juvenile
tomari,2008,100,thousand_fish,juvenile
toppu,2008,81.6,thousand_fish,juvenile
futoro,2008,50,thousand_fish,juvenile
furuu,2008,40.1,thousand_fish,juvenile
furuu,2008,32.8,thousand_fish,juvenile
furuu,2008,29.7,thousand_fish,juvenile
yobetsu,2008,20,thousand_fish,juvenile
ishizaki,2009,71.4,thousand_fish,juvenile
usubetsu,2009,71.4,thousand_fish,juvenile
kenichi,2009,140.7,thousand_fish,juvenile
kenichi,2009,77.7,thousand_fish,juvenile
chihase,2009,60,thousand_fish,juvenile
chihase,2009,50,thousand_fish,juvenile
tomari,2009,100,thousand_fish,juvenile
toppu,2009,71.6,thousand_fish,juvenile
futoro,2009,50,thousand_fish,juvenile
furuu,2009,10,thousand_fish,juvenile
furuu,2009,60.5,thousand_fish,juvenile
yobetsu,2009,10,thousand_fish,juvenile
ishizaki,2010,50,thousand_fish,juvenile
usubetsu,2010,71.4,thousand_fish,juvenile
kenichi,2010,131.7,thousand_fish,juvenile
kenichi,2010,228.2,thousand_fish,juvenile
chihase,2010,60,thousand_fish,juvenile
chihase,2010,50,thousand_fish,juvenile
tomari,2010,100,thousand_fish,juvenile
toppu,2010,71.6,thousand_fish,juvenile
futoro,2010,50,thousand_fish,juvenile
furuu,2010,63.1,thousand_fish,juvenile
yobetsu,2010,10,thousand_fish,juvenile
ishizaki,2011,71.4,thousand_fish,juvenile
usubetsu,2011,71.4,thousand_fish,juvenile
kenichi,2011,122.7,thousand_fish,juvenile
kenichi,2011,31.9,thousand_fish,juvenile
kenichi,2011,33.2,thousand_fish,juvenile
kenichi,2011,32.9,thousand_fish,juvenile
sukki,2011,35,thousand_fish,juvenile
chihase,2011,60,thousand_fish,juvenile
chihase,2011,46,thousand_fish,juvenile
tomari,2011,100,thousand_fish,juvenile
toppu,2011,71.6,thousand_fish,juvenile
futoro,2011,40,thousand_fish,juvenile
furuu,2011,10.1,thousand_fish,juvenile
furuu,2011,55.5,thousand_fish,juvenile
yobetsu,2011,10,thousand_fish,juvenile
ishizaki,2012,45,thousand_fish,juvenile
usubetsu,2012,45,thousand_fish,juvenile
kenichi,2012,283.3,thousand_fish,juvenile
kenichi,2012,30.5,thousand_fish,juvenile
kenichi,2012,30.8,thousand_fish,juvenile
kenichi,2012,31,thousand_fish,juvenile
sukki,2012,20,thousand_fish,juvenile
chihase,2012,150,thousand_fish,juvenile
toppu,2012,210,thousand_fish,juvenile
futoro,2012,27,thousand_fish,juvenile
kenichi,2013,388.4,thousand_fish,juvenile
shiotomari,2013,8.4,thousand_fish,juvenile
oyobe,2013,8.4,thousand_fish,juvenile
furuu,2012,0.1,thousand_fish,juvenile
tomari,2012,0.1,thousand_fish,juvenile
chihase,2013,0.2,thousand_fish,juvenile
ishizaki,2013,45,thousand_fish,juvenile
toppu,2013,210,thousand_fish,juvenile
usubetsu,2013,45,thousand_fish,juvenile
futoro,2013,22,thousand_fish,juvenile
sukki,2013,27,thousand_fish,juvenile
kenichi,2014,104.4,thousand_fish,juvenile
kenichi,2014,124.3,thousand_fish,juvenile
furuu,2013,89.8,thousand_fish,juvenile
tomari,2013,100,thousand_fish,juvenile
chihase,2014,150,thousand_fish,juvenile
ishizaki,2014,10,thousand_fish,juvenile
toppu,2014,205,thousand_fish,juvenile
usubetsu,2014,10,thousand_fish,juvenile
futoro,2014,5,thousand_fish,juvenile
sukki,2014,5,thousand_fish,juvenile
furuu,2014,69,thousand_fish,juvenile
furuu,2014,21,thousand_fish,juvenile
tomari,2014,40,thousand_fish,juvenile
chihase,2015,189,thousand_fish,juvenile
furuu,2015,20,thousand_fish,juvenile
furuu,2015,70,thousand_fish,juvenile
tomari,2015,100,thousand_fish,juvenile
chihase,2016,150,thousand_fish,juvenile
kenichi,2017,204.4,thousand_fish,juvenile
chihase,2017,150,thousand_fish,juvenile
furuu,2017,90,thousand_fish,juvenile
tomari,2017,40,thousand_fish,juvenile
chihase,2018,150,thousand_fish,juvenile
furuu,2018,50,thousand_fish,juvenile
kenichi,2019,22,thousand_fish,juvenile
chihase,2019,150,thousand_fish,juvenile
furuu,2019,89,thousand_fish,juvenile
tomari,2019,80,thousand_fish,juvenile
furuu,2019,30,thousand_fish,juvenile
kenichi,2020,188,thousand_fish,juvenile
chihase,2020,150,thousand_fish,juvenile
furuu,2020,127,thousand_fish,juvenile
